Stock,Model,MSE,RMSE,Last Price,Forecast Mean,Forecast Std
AAPL,SARIMA,3.212790460607473e+213,5.6681482519491964e+106,213.4900054931641,8.541655194657008e+92,7.783688932472949e+91
EGO,SARIMA,7355363784843.24,2712077.392856487,15.260000228881836,3461685.3266897732,460594.7147585779
MGRM,SARIMA,108.87261485988105,10.434204083679841,2.3299999237060547,10.3602985958564,0.05065863112461197
RIVN,SARIMA,264333974013.372,514134.19844761543,10.75,47061.20794797104,101.23142718169704
