Simulation,Portfolio Size,Return (%),Sharpe Ratio,Portfolio
1,7,35.5910923712402,1.393960953826609,"{'PYPL': 0.05220732422063164, 'CCL': 0.2588329816608757, 'NOK': 0.04375095516104099, 'AMD': 0.1896865567128646, 'GM': 0.21302954354536713, 'WFC': 0.24091777966260758, 'LCID': 0.0015748590366123979}"
2,3,77.23993238802535,2.0781886351612298,"{'META': 0.9585231968903197, 'CCL': 0.01101021210344499, 'NIO': 0.03046659100623533}"
3,8,42.73058016563287,1.628673764689866,"{'LYFT': 0.04491035587386779, 'AAPL': 0.05894448417441323, 'DNA': 0.008365049128051508, 'CCL': 0.31285168218696235, 'PBR': 0.20879048994603233, 'MSFT': 0.011119135866239636, 'SHOP': 0.19087806182340988, 'C': 0.16414074100102344}"
4,3,9.22262394426154,0.2599934336356704,"{'PYPL': 0.9472417769811405, 'PLUG': 0.021077196679889866, 'DNA': 0.03168102633896954}"
5,4,97.40614194181296,1.455953535244627,"{'COIN': 0.7533607778088345, 'LUMN': 0.02759568639236465, 'SNAP': 0.010253042775686009, 'AAPL': 0.2087904930231149}"
6,6,35.52586647370134,1.8693429313924517,"{'C': 0.20758017215611335, 'MSFT': 0.06702717558706851, 'T': 0.14238433199595765, 'CSCO': 0.09372937273194937, 'AMZN': 0.4844336077786014, 'PLUG': 0.004845339750309605}"
7,3,37.05485485295068,1.3654299272521107,"{'WBD': 0.01953248128410847, 'GOOGL': 0.9188284622875154, 'CSCO': 0.06163905642837624}"
8,9,50.19228566795682,1.3642228048408196,"{'LUMN': 0.14805913144168487, 'NIO': 0.014898355108462574, 'META': 0.1839339202312126, 'LYFT': 0.1313669546403681, 'AMD': 0.13874487004603572, 'BABA': 0.003940100071628611, 'JD': 0.010651144085009613, 'NOK': 0.04032952226277723, 'SHOP': 0.3280760021128206}"
9,9,34.743857714208936,1.5300818053098229,"{'JPM': 0.06719166304418867, 'DNA': 0.028878548938006395, 'NU': 0.30794399359934604, 'NIO': 0.01784314361686339, 'PBR': 0.16523299047248693, 'F': 0.1836593243794682, 'NOK': 0.04502523760428887, 'AMZN': 0.16087880243521838, 'LYFT': 0.023346295910133076}"
10,7,100.13891125437647,2.4223983060466843,"{'NIO': 0.045259598772403375, 'PLTR': 0.421066911440121, 'TSLA': 0.12557296575065494, 'NU': 0.0988430714458961, 'NFLX': 0.06377089886000233, 'NVDA': 0.19547798678757836, 'SOFI': 0.0500085669433437}"
11,12,70.13183784953704,2.1473113175721057,"{'NVDA': 0.20980418590841485, 'COIN': 0.1489533614049242, 'XOM': 0.0046545521950921084, 'UBER': 0.1355288647394126, 'GOOGL': 0.1036149009329555, 'JPM': 0.03044146112870343, 'CSCO': 0.05145868587995644, 'AMD': 0.019081479514213417, 'SOFI': 0.19314103082611167, 'GM': 0.07086119102102797, 'AAL': 0.012544001771657988, 'DNA': 0.019916284677529632}"
12,12,40.51910445504869,1.9736727325239727,"{'JPM': 0.017447619038346993, 'GM': 0.064297269061681, 'PYPL': 0.0428084110496187, 'SHOP': 0.014214953442929806, 'JD': 0.053200141601382596, 'MSFT': 0.1937139048955206, 'DNA': 0.007230412034092186, 'GOOGL': 0.18256901665403744, 'META': 0.21323137107938925, 'NU': 0.1356615214494679, 'PFE': 0.06030130072145059, 'VALE': 0.015324078972082884}"
13,12,55.45387148844638,2.2578304880621958,"{'WFC': 0.1613467114939553, 'T': 0.025975761696886243, 'META': 0.20554307836868113, 'NFLX': 0.007654842047596753, 'HOOD': 0.2246725154158827, 'KO': 0.07773384091358038, 'NOK': 0.0785605485344719, 'XOM': 0.0331447505767183, 'NIO': 0.01412569734415059, 'TSLA': 0.1335256393698403, 'GOOG': 0.0024621968509631717, 'F': 0.03525441738727313}"
14,10,48.44110674378214,1.4644263048478603,"{'AMD': 0.07397004248598185, 'JPM': 0.0575984846761277, 'UBER': 0.14408440294237881, 'LUMN': 0.17038719451753492, 'VZ': 8.496415242965377e-05, 'INTC': 0.03111579806998297, 'XOM': 0.03257958120135891, 'AAPL': 0.1080110681079322, 'C': 0.09751513588917735, 'SOFI': 0.28465332795709564}"
15,3,117.32913148596818,1.4011495091964192,"{'PBR': 0.016024528915085833, 'COIN': 0.965408163791396, 'SHOP': 0.018567307293518114}"
16,6,24.52595712983559,0.7233237222598101,"{'KO': 0.024901493021691007, 'VZ': 0.017412891034113642, 'MSFT': 0.3684914566360798, 'LYFT': 0.2645365394642795, 'INTC': 0.016649412609861254, 'SNAP': 0.3080082072339748}"
17,3,59.30565952263001,1.6250999187090913,"{'NU': 0.8874596541253933, 'GOOG': 0.08648699121865519, 'AAPL': 0.02605335465595147}"
18,6,47.64160808291156,1.7331010790656167,"{'AMZN': 0.08209334927322821, 'PLUG': 0.09421605344506184, 'CSCO': 0.23811148168698337, 'LYFT': 0.03509926544115374, 'META': 0.5474616116380994, 'DNA': 0.0030182385154734646}"
19,5,19.261553028104732,0.6427879575961652,"{'PLUG': 0.010205961771876848, 'WBD': 0.18655131399293542, 'PYPL': 0.06522621790387965, 'INTC': 0.09523118915675796, 'EGO': 0.6427853171745502}"
20,4,27.14895890738059,1.5444719364164254,"{'MSFT': 0.6262186122005005, 'BAC': 0.3469943650880856, 'PFE': 0.014975713400349923, 'INTC': 0.011811309311064097}"
21,7,64.98331183021497,2.163240537861041,"{'AAL': 0.021655314899782993, 'WFC': 0.044679729828987186, 'UBER': 0.016705500475907523, 'SOFI': 0.31406820139425656, 'META': 0.45669100220749065, 'C': 0.05016466175286236, 'KO': 0.09603558944071264}"
