Simulation,Portfolio Size,Return (%),Sharpe Ratio,Portfolio
23,5,84.61905882860266,2.078646343661541,"{'LYFT': 0.1298102519590835, 'UBER': 0.03792338521974717, 'NFLX': 0.011443194111921103, 'WBD': 0.10804695907706077, 'NVDA': 0.7127762096321875}"
24,4,31.08170594734096,1.5983069519852704,"{'BAC': 0.1578088135601823, 'NOK': 0.09716176424763903, 'CSCO': 0.05693185748793032, 'JPM': 0.6880975647042483}"
25,10,42.56566433829449,1.6022145945293156,"{'MSFT': 0.21133081640055715, 'BAC': 0.09745337429486735, 'GOOGL': 0.1738577475007541, 'LCID': 0.011217028195861485, 'F': 0.08362090728576117, 'SHOP': 0.15065159458875757, 'VZ': 0.004086168664041735, 'DNA': 0.01587975901391052, 'PLUG': 0.039048041746131516, 'HOOD': 0.21285456230935756}"
26,11,58.43443932756692,1.795994199825798,"{'NIO': 0.006097806724046406, 'COIN': 0.19936162816213818, 'RIVN': 0.01798708330979144, 'WBD': 0.014568294567403602, 'SOFI': 0.22983898681168585, 'T': 0.023027076320877988, 'GOOGL': 0.09188605995409621, 'NFLX': 0.17068350500984905, 'BAC': 0.01068551193682694, 'CSCO': 0.20208997424216288, 'JPM': 0.033774072961121365}"
27,8,32.899693738968196,1.5210916643805805,"{'NOK': 0.09634058788669332, 'XOM': 0.08085811366528442, 'F': 0.08584397308034863, 'BAC': 0.05395559895142726, 'PBR': 0.18496196640314186, 'NU': 0.30375609997369035, 'GM': 0.1934324290253066, 'NIO': 0.0008512310141074572}"
28,8,49.74984250607665,1.3125698260632057,"{'NIO': 0.051887926099995936, 'JPM': 0.19849366928263, 'RIVN': 0.10957881023127632, 'PFE': 0.04019143199497067, 'COIN': 0.34874919810904437, 'VZ': 0.17038988972537364, 'F': 0.060764692898980115, 'JD': 0.019944381657729087}"
29,9,70.93877400990092,1.8493214021836484,"{'UBER': 0.22916320880548605, 'JD': 0.028082491214367664, 'MSFT': 0.05431859895840001, 'EGO': 0.004974096535420715, 'INTC': 0.04966133292809339, 'C': 0.06549772181413215, 'TSLA': 0.13113573245500426, 'HOOD': 0.21621156236492317, 'COIN': 0.2209552549241727}"
30,9,31.252446013350767,0.8649668473845885,"{'AMZN': 0.27750672919166963, 'PFE': 0.12963317444067768, 'AMD': 0.06730894538347773, 'DIS': 0.0390716971802888, 'GM': 0.030444273760692378, 'LUMN': 0.28776038908697665, 'INTC': 0.04279577378339735, 'KO': 0.09358603672804573, 'BABA': 0.03189298044477401}"
31,12,41.40149449165072,1.2081104748005638,"{'AAL': 0.10987511807916486, 'PLUG': 0.0005683764723323295, 'TSLA': 0.018733319929526322, 'HOOD': 0.1480908643387662, 'LUMN': 0.145280284428122, 'WBD': 0.10008951052304323, 'NIO': 0.02363218309668063, 'XOM': 0.08284112475364494, 'SOFI': 0.1871297019983637, 'LCID': 0.01889587785479127, 'DNA': 0.0025285326622300234, 'PINS': 0.16233510586333438}"
32,11,30.924121776345885,1.3196288592757675,"{'AAPL': 0.13846046198791243, 'SHOP': 0.15912757462548652, 'VZ': 0.05335044423161376, 'DNA': 0.005822564411948063, 'INTC': 0.0017624194232095066, 'PBR': 0.19732050719606906, 'BAC': 0.06873760976983814, 'BABA': 0.011613271065755668, 'WFC': 0.1322315856653884, 'SNAP': 0.20428426344211664, 'PYPL': 0.027289298180661847}"
33,8,22.478888491361246,0.5426231293490308,"{'WBD': 0.15850485730990127, 'DNA': 0.0009903309256755722, 'LYFT': 0.044671326735805296, 'INTC': 0.18431939940135594, 'CSCO': 0.07353160866048278, 'AAPL': 0.18902741872976703, 'NIO': 0.040347718212717806, 'LUMN': 0.3086073400242944}"
34,6,54.199867801232756,1.537145383810822,"{'GM': 0.11079642778210104, 'AAL': 0.003217302676110134, 'CCL': 0.2698658436411377, 'TSLA': 0.4528276883766836, 'NIO': 0.006653642262914026, 'EGO': 0.15663909526105346}"
35,6,37.65877303857811,1.4237342347144537,"{'XOM': 0.059422763353003706, 'MSFT': 0.17033733101732504, 'AMD': 0.3060642495954409, 'NFLX': 0.43223202007775785, 'NIO': 0.013113661450580396, 'INTC': 0.01882997450589212}"
36,10,52.06824234639076,1.9780556742196151,"{'NU': 0.18398928868415218, 'LYFT': 0.04058027087268687, 'NIO': 0.024397864381492877, 'NVDA': 0.2791691320482468, 'WFC': 0.0819525533628663, 'CSCO': 0.05989035579455207, 'XOM': 0.00024031563951709917, 'PINS': 0.2706849561991716, 'MSFT': 0.0039004920535949525, 'DIS': 0.055194770963719275}"
37,4,47.208329595290266,0.5267648426218273,"{'LUMN': 0.7886409043024347, 'NOK': 0.11681881679750636, 'AAL': 0.017478966105156243, 'WBD': 0.07706131279490266}"
38,5,62.1406260310887,2.2010195982910616,"{'INTC': 0.07688643563324418, 'C': 0.023266094610469426, 'JPM': 0.16138533062140387, 'GOOG': 0.09510247101633142, 'META': 0.643359668118551}"
39,12,64.47584474288924,1.8319562593400098,"{'SHOP': 0.006548313381317652, 'AAL': 0.09463591201295554, 'LYFT': 0.020008305967553097, 'JPM': 0.01953764070394464, 'AAPL': 0.09225149386816135, 'COIN': 0.16792431969317698, 'VALE': 0.09911043757859732, 'PLTR': 0.2674806484911061, 'GM': 0.17975897142050817, 'DNA': 0.012584203138027616, 'RIVN': 0.023169811662790474, 'BAC': 0.016989942081861026}"
40,12,62.32552578783797,2.529324631575169,"{'NVDA': 0.18802827498886632, 'PLUG': 7.16856778227796e-05, 'TSLA': 0.11950615580741208, 'GOOGL': 0.16860834041219924, 'JPM': 0.02046919006042422, 'AAPL': 0.06615723358826718, 'WFC': 0.04556812080427698, 'META': 0.1625823888985989, 'T': 0.052172355061965305, 'AMZN': 0.143401975903837, 'GOOG': 0.030328365260178444, 'PBR': 0.003105913536151392}"
41,3,92.15973983272372,1.701028826630681,"{'HOOD': 0.9617500977193918, 'JPM': 0.003873373994774389, 'DNA': 0.0343765282858338}"
42,12,54.15942008213159,1.4955170813584646,"{'GOOGL': 0.06267208709525973, 'PBR': 0.06915336531602549, 'KO': 0.0016829525802577684, 'LCID': 0.08936094622229303, 'NIO': 0.0074398994853099275, 'DIS': 0.09341699493349544, 'TSLA': 0.22868573075755613, 'COIN': 0.2334605335651941, 'NFLX': 0.013104861237926431, 'GOOG': 0.008150878310484848, 'PYPL': 0.00993565488504402, 'WFC': 0.18293609561115284}"
43,5,36.177717087081625,2.0624483297696985,"{'PBR': 0.2978138510092732, 'GOOG': 0.3679183864185597, 'JPM': 0.3132637112817164, 'VZ': 0.020342552699796308, 'JD': 0.000661498590654533}"
44,11,48.72068267914395,1.6427970005742623,"{'VALE': 0.008348838866019686, 'RIVN': 0.08012367850990958, 'AAPL': 0.05038228259381304, 'JD': 0.024371345946582572, 'KO': 0.08670372594373355, 'PLUG': 0.060699723640209015, 'META': 0.2665893296366402, 'NIO': 0.031104029473147568, 'HOOD': 0.2886978621641158, 'PYPL': 0.08642145032155774, 'INTC': 0.016557732904271247}"
45,5,74.04740482837407,1.8375490357953783,"{'RIVN': 0.028057327330212208, 'AMZN': 0.03406297747136137, 'PINS': 0.05740265515977065, 'HOOD': 0.5337960023200834, 'CCL': 0.3466810377185724}"
46,10,61.96214081553071,2.2634813950059014,"{'PBR': 0.06606595760186658, 'C': 0.09063486915447816, 'CCL': 0.15910309693074862, 'PLTR': 0.21949889612525578, 'AAPL': 0.004088921160398078, 'NOK': 0.01416055014399819, 'NIO': 0.041875890747998, 'NU': 0.1982216596866189, 'JPM': 0.1790177287472551, 'XOM': 0.02733242970138257}"
47,8,17.347680576979595,0.6004883588060755,"{'XOM': 0.05469640252207099, 'LYFT': 0.24457627709031796, 'F': 0.09207311400386117, 'NOK': 0.07995312226764399, 'C': 0.2446837961320781, 'LCID': 0.018089783708051744, 'GM': 0.22985740985482547, 'DNA': 0.03607009442115048}"
48,6,42.30694153341984,1.7839198321689373,"{'SNAP': 0.062270589380931905, 'NFLX': 0.523620432851091, 'UBER': 0.2461453493430102, 'T': 0.013774456223979242, 'CSCO': 0.1535076856744207, 'WBD': 0.0006814865265666118}"
49,5,74.27246905621776,1.5165564299255785,"{'VALE': 0.024369818206446122, 'COIN': 0.5001369912466932, 'WFC': 0.40212145588264686, 'BAC': 0.05351961410086176, 'NOK': 0.019852120563352102}"
50,5,55.62105831184929,1.8716931894385236,"{'KO': 0.0782471644779759, 'META': 0.6957158841697221, 'JPM': 0.11901480316605319, 'PLUG': 0.09992879221115351, 'GM': 0.007093355975095277}"
51,7,32.166440833594265,1.431186782996404,"{'AMD': 0.2852342081733863, 'INTC': 0.014048380225487002, 'MSFT': 0.47492727836216136, 'PYPL': 0.041338873634405, 'JPM': 0.11741096088628283, 'WFC': 0.06383040441891377, 'PFE': 0.0032098942993637344}"
52,4,54.1491723647384,1.3403337761497771,"{'CCL': 0.5026631446167436, 'PLUG': 0.020782878355010137, 'WBD': 0.010158648410561143, 'SHOP': 0.46639532861768523}"
