Simulation,Portfolio Size,Return (%),Sharpe Ratio,Portfolio
1,9,63.41405987569042,1.687939670514009,"{'XOM': 0.026454962233628084, 'COIN': 0.24495650202324634, 'PBR': 0.11934957919526949, 'NIO': 0.043944014170741265, 'PINS': 0.027906855016996118, 'BABA': 0.004520415699128734, 'SOFI': 0.247593318804615, 'SNAP': 0.04914938503443845, 'AMZN': 0.2361249678219366}"
2,10,54.22898293208641,1.9636550536975568,"{'C': 0.0193590265721326, 'SOFI': 0.20411866976070348, 'PFE': 0.032782516849268674, 'META': 0.1926288151995162, 'SNAP': 0.011274154485988973, 'SHOP': 0.20003592691870734, 'AMD': 0.001071362631807648, 'JPM': 0.2301999812733552, 'JD': 0.05146597180792765, 'CCL': 0.057063574500592344}"
3,3,55.95797819479832,1.074959919157371,"{'BAC': 0.06529081836581883, 'LCID': 0.010983838108453763, 'SHOP': 0.9237253435257274}"
4,9,65.42588777797702,2.3032446801540107,"{'PFE': 0.01177992583365902, 'SHOP': 0.15719259938590208, 'NVDA': 0.30973399057139595, 'AAPL': 0.0674747572104444, 'NU': 0.23383805613632808, 'PLUG': 0.020559567816561666, 'CSCO': 0.0635852824613539, 'GOOGL': 0.06964331531749887, 'GOOG': 0.06619250526685615}"
5,5,48.32799746531807,1.2805052585904033,"{'PLUG': 0.06152751034027918, 'MSFT': 0.06816615273524382, 'XOM': 0.0022110143209397633, 'CCL': 0.5144815760968254, 'SHOP': 0.3536137465067118}"
6,5,28.421772167873073,1.0294190620445385,"{'AAPL': 0.41411522944223367, 'F': 0.026165325195107825, 'T': 0.05701483480358519, 'JD': 0.014527191508205054, 'AMD': 0.4881774190508683}"
7,7,43.937983767894714,0.9960350130697067,"{'AAPL': 0.0589096843247749, 'NIO': 0.10836915235978867, 'UBER': 0.02135419963561863, 'T': 0.02693316072713833, 'TSLA': 0.5986948802427946, 'NOK': 0.060108997102233074, 'RIVN': 0.12562992560765174}"
8,10,34.83000209011723,1.6746778952494,"{'GOOG': 0.20794469778678928, 'LCID': 0.03129995376362399, 'T': 0.012999698597574343, 'NOK': 0.13446867240171687, 'AMD': 0.03162592612541504, 'KO': 0.032376545819476105, 'BABA': 0.017064132149083287, 'UBER': 0.20383959355415895, 'NU': 0.1860521045540199, 'GM': 0.14232867524814227}"
9,12,38.36541318985508,1.4986103669032522,"{'VALE': 0.02724305222201477, 'NIO': 0.003424764251975005, 'PBR': 0.0006666455376467612, 'PLUG': 0.03024659354118629, 'JD': 0.012218553110364691, 'MSFT': 0.14780785603024457, 'LUMN': 0.1461561228973428, 'JPM': 0.1406530401843853, 'NU': 0.13342770584832972, 'UBER': 0.17231755639228416, 'GOOGL': 0.11514446760486963, 'PINS': 0.0706936423793564}"
10,11,22.853604389725728,1.2023961684698632,"{'NOK': 0.00886504067720023, 'MSFT': 0.19533860105952006, 'PFE': 0.04080185093750029, 'GOOG': 0.21360800425307425, 'GM': 0.17105680896072392, 'PYPL': 0.048428404433970514, 'VZ': 0.07126932426841026, 'PINS': 0.21058044348997879, 'F': 0.01392914502325619, 'JD': 0.012265205393684692, 'VALE': 0.013857171502680827}"
11,7,88.28292851656451,1.4759322034017262,"{'RIVN': 0.07607733900997511, 'NFLX': 0.017104402536048984, 'COIN': 0.6401373098488297, 'C': 0.01593161668472731, 'NU': 0.08208472429028973, 'PBR': 0.09684973034941118, 'AAL': 0.07181487728071817}"
12,7,73.32092379808624,2.1060529910747037,"{'T': 0.04972737435726952, 'SNAP': 0.07370107516858164, 'WFC': 0.022809903363403928, 'GOOG': 0.2548163222592239, 'GM': 0.11783800374218352, 'F': 0.06748288503310955, 'PLTR': 0.4136244360762279}"
13,7,36.60049603613978,0.9421774328026775,"{'DNA': 0.005763034675149364, 'SHOP': 0.45745128994965095, 'NOK': 0.11291982615473944, 'SNAP': 0.3455567061938422, 'XOM': 0.042820824162690736, 'CSCO': 0.020287575876203588, 'WBD': 0.015200742987723618}"
14,5,51.90474174001673,1.169616810517963,"{'SHOP': 0.7574458652329871, 'GM': 0.03922333869091946, 'NIO': 0.0036344372092837742, 'AAPL': 0.15426467032241425, 'AMZN': 0.04543168854439549}"
