Date,Price
2024-03-15,2.0999999046325684
2024-03-18,1.9800000190734863
2024-03-19,1.899999976158142
2024-03-20,1.6699999570846558
2024-03-21,2.2799999713897705
2024-03-22,2.25
2024-03-25,2.2300000190734863
2024-03-26,2.2799999713897705
2024-03-27,2.309999942779541
2024-03-28,2.440000057220459
2024-04-01,2.359999895095825
2024-04-02,2.299999952316284
2024-04-03,2.3299999237060547
2024-04-04,2.2799999713897705
2024-04-05,2.2699999809265137
2024-04-08,2.4200000762939453
2024-04-09,2.309999942779541
2024-04-10,2.2699999809265137
2024-04-11,4.070000171661377
2024-04-12,3.109999895095825
2024-04-15,2.5899999141693115
2024-04-16,2.619999885559082
2024-04-17,2.3499999046325684
2024-04-18,2.259999990463257
2024-04-19,2.25
2024-04-22,2.2100000381469727
2024-04-23,2.2699999809265137
2024-04-24,2.3299999237060547
2024-04-25,2.359999895095825
2024-04-26,2.433000087738037
2024-04-29,2.25
2024-04-30,2.065000057220459
2024-05-01,1.9500000476837158
2024-05-02,1.8700000047683716
2024-05-03,1.940000057220459
2024-05-06,2.0399999618530273
2024-05-07,1.9600000381469727
2024-05-08,1.899999976158142
2024-05-09,1.9500000476837158
2024-05-10,1.8799999952316284
2024-05-13,1.899999976158142
2024-05-14,2.0299999713897705
2024-05-15,2.059999942779541
2024-05-16,2.130000114440918
2024-05-17,2.069999933242798
2024-05-20,1.9700000286102295
2024-05-21,1.9900000095367432
2024-05-22,2.0
2024-05-23,1.9800000190734863
2024-05-24,2.0399999618530273
2024-05-28,2.0199999809265137
2024-05-29,2.0299999713897705
2024-05-30,2.0
2024-05-31,1.9900000095367432
2024-06-03,2.0299999713897705
2024-06-04,2.1700000762939453
2024-06-05,2.319999933242798
2024-06-06,2.490000009536743
2024-06-07,2.25
2024-06-10,2.059999942779541
2024-06-11,2.1700000762939453
2024-06-12,2.109999895095825
2024-06-13,2.0799999237060547
2024-06-14,2.059999942779541
2024-06-17,1.9700000286102295
2024-06-18,2.0999999046325684
2024-06-20,2.140000104904175
2024-06-21,2.299999952316284
2024-06-24,2.1600000858306885
2024-06-25,2.0999999046325684
2024-06-26,2.0199999809265137
2024-06-27,2.069999933242798
2024-06-28,2.1500000953674316
2024-07-01,2.0199999809265137
2024-07-02,2.0399999618530273
2024-07-03,2.0799999237060547
2024-07-05,2.0899999141693115
2024-07-08,2.119999885559082
2024-07-09,2.125
2024-07-10,2.200000047683716
2024-07-11,2.2200000286102295
2024-07-12,2.259999990463257
2024-07-15,2.1600000858306885
2024-07-16,2.259999990463257
2024-07-17,2.180000066757202
2024-07-18,2.1600000858306885
2024-07-19,2.1700000762939453
2024-07-22,2.259999990463257
2024-07-23,2.7200000286102295
2024-07-24,2.4000000953674316
2024-07-25,2.509999990463257
2024-07-26,2.549999952316284
2024-07-29,2.4700000286102295
2024-07-30,2.390000104904175
2024-07-31,2.4200000762939453
2024-08-01,2.359999895095825
2024-08-02,2.359999895095825
2024-08-05,2.2300000190734863
2024-08-06,2.25
2024-08-07,2.2699999809265137
2024-08-08,2.640000104904175
2024-08-09,2.559999942779541
2024-08-12,2.5799999237060547
2024-08-13,2.619999885559082
2024-08-14,2.700000047683716
2024-08-15,2.7939999103546143
2024-08-16,2.819999933242798
2024-08-19,2.869999885559082
2024-08-20,3.109999895095825
2024-08-21,3.319999933242798
2024-08-22,3.4000000953674316
2024-08-23,3.440000057220459
2024-08-26,3.180000066757202
2024-08-27,2.819999933242798
2024-08-28,2.615000009536743
2024-08-29,2.9800000190734863
2024-08-30,2.75
2024-09-03,2.430000066757202
2024-09-04,2.450000047683716
2024-09-05,2.359999895095825
2024-09-06,2.490000009536743
2024-09-09,2.8499999046325684
2024-09-10,2.9800000190734863
2024-09-11,3.359999895095825
2024-09-12,3.1500000953674316
2024-09-13,3.2799999713897705
2024-09-16,3.2699999809265137
2024-09-17,3.2300000190734863
2024-09-18,3.240000009536743
2024-09-19,2.8399999141693115
2024-09-20,2.8399999141693115
2024-09-23,2.680000066757202
2024-09-24,2.4800000190734863
2024-09-25,2.440000057220459
2024-09-26,2.509999990463257
2024-09-27,2.6500000953674316
2024-09-30,2.6500000953674316
2024-10-01,2.4700000286102295
2024-10-02,2.4600000381469727
2024-10-03,2.380000114440918
2024-10-04,2.319999933242798
2024-10-07,2.319999933242798
2024-10-08,2.319999933242798
2024-10-09,2.359999895095825
2024-10-10,2.359999895095825
2024-10-11,2.4000000953674316
2024-10-14,2.3299999237060547
2024-10-15,2.299999952316284
2024-10-16,2.390000104904175
2024-10-17,2.4600000381469727
2024-10-18,2.4600000381469727
2024-10-21,2.4800000190734863
2024-10-22,2.490000009536743
2024-10-23,2.380000114440918
2024-10-24,2.390000104904175
2024-10-25,2.450000047683716
2024-10-28,2.4800000190734863
2024-10-29,2.4100000858306885
2024-10-30,2.3499999046325684
2024-10-31,2.299999952316284
2024-11-01,2.309999942779541
2024-11-04,2.299999952316284
2024-11-05,2.259999990463257
2024-11-06,2.2200000286102295
2024-11-07,2.2899999618530273
2024-11-08,2.2100000381469727
2024-11-11,2.180000066757202
2024-11-12,2.2200000286102295
2024-11-13,2.119999885559082
2024-11-14,2.009999990463257
2024-11-15,2.049999952316284
2024-11-18,1.9900000095367432
2024-11-19,2.0399999618530273
2024-11-20,2.0
2024-11-21,1.9800000190734863
2024-11-22,1.9700000286102295
2024-11-25,2.0799999237060547
2024-11-26,2.069999933242798
2024-11-27,2.0
2024-11-29,2.0199999809265137
2024-12-02,2.049999952316284
2024-12-03,2.3299999237060547
2024-12-04,2.359999895095825
