model_id,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,interval_width,growth,n_changepoints,daily_seasonality,weekly_seasonality,yearly_seasonality,mse,stock
20250207_164947_d2bf8e13,1.2,7,0.01,multiplicative,0.05,linear,70,True,False,True,4.2921502690353055,AAPL
20250207_171123_e2e7c7a6,1.0,2,0.01,multiplicative,0.05,linear,65,True,False,True,0.061718879267749764,EGO
20250207_172650_e3c17e2e,1.0,5,0.01,multiplicative,0.05,linear,60,True,False,True,0.02346847082695587,F
20250207_173101_10103205,1.2,7,0.01,multiplicative,0.05,linear,60,True,False,True,0.1752995415685624,RIVN
