date,title,link,symbol
Jan-09-25 06:44PM,Google folds more AI teams into DeepMind to 'accelerate the research to developer pipeline',https://finance.yahoo.com/m/fbceb466-5f44-3f16-a9be-92e573e55639/google-folds-more-ai-teams.html,GOOGL
06:27PM,"Google searches for deleting Facebook, Instagram explode after Meta ends fact-checking",https://finance.yahoo.com/m/19d39d39-921c-393c-8df5-174837243ac7/google-searches-for-deleting.html,GOOGL
03:23PM,Quantum Computing Stocks Are Having a Rough Week. Investors Should Look to the Future.,https://finance.yahoo.com/m/18ce903a-1565-38da-89c5-c6b1c908987b/quantum-computing-stocks-are.html,GOOGL
03:16PM,Google folds more teams into DeepMind to 'accelerate the research to developer pipeline',https://finance.yahoo.com/m/fbceb466-5f44-3f16-a9be-92e573e55639/google-folds-more-teams-into.html,GOOGL
02:01PM,"Microsoft, Google, Adobe Give $1 Million Each to Trump Inaugural Fund",https://finance.yahoo.com/news/microsoft-google-adobe-1-million-190121729.html,GOOGL
01:51PM,Is Alphabet Inc. (GOOGL) the Best Technology Stock to Invest In for the Long Term,https://finance.yahoo.com/news/alphabet-inc-googl-best-technology-185133290.html,GOOGL
01:07PM,How The Trade Desk Stock Gained 63% in 2024,https://finance.yahoo.com/m/e3f0f025-fdd9-3e41-b6ca-bc43f19d4283/how-the-trade-desk-stock.html,GOOGL
01:04PM,Google and Microsoft are the latest tech giants donating $1 million to Trump's inauguration,https://finance.yahoo.com/m/d8fa3bd3-514f-3437-9d10-3797d68b1330/google-and-microsoft-are-the.html,GOOGL
11:48AM,"Nvidia, Google, OpenAI Turn To 'Synthetic Data' Factories To Train AI Models",https://finance.yahoo.com/m/4b2fecf5-6b58-3ca1-b005-bafa8bad7bf8/nvidia%2C-google%2C-openai-turn.html,GOOGL
11:25AM,"Google Option Trade Offers Wide Profit Zone, 31.6% Return",https://finance.yahoo.com/m/ea17bb04-1ea3-31da-850d-b0f66d3d2319/google-option-trade-offers.html,GOOGL
11:07AM,"Google is donating $1 million to Trump's inauguration, joining Amazon, Meta and others",https://qz.com/google-youtube-trump-inauguration-meta-amazon-apple-1851736124,GOOGL
11:03AM,Google's Daily Listen AI feature generates a podcast based on your Discover feed,https://finance.yahoo.com/m/f57c7776-098a-3398-b3b9-a882b7ac930a/google%27s-daily-listen-ai.html,GOOGL
10:22AM,Top 3 tech trends that dominated CES 2025,https://finance.yahoo.com/video/top-3-tech-trends-dominated-152212309.html,GOOGL
06:50AM,Nvidia CEO Jensen Huang Just Delivered Terrible News for Quantum Computing Stocks,https://finance.yahoo.com/m/8efe05e7-7ea8-3d50-a1f1-67acecfaac9f/nvidia-ceo-jensen-huang-just.html,GOOGL
06:40AM,"Stocks are priced for 'perfection' and more vulnerable to a correction, Goldman warns",https://finance.yahoo.com/news/stocks-are-priced-for-perfection-and-more-vulnerable-to-a-correction-goldman-warns-114026237.html,GOOGL
06:08AM,Prediction: 2 Stocks That'll Be Worth More Than Nvidia 10 Years From Now,https://finance.yahoo.com/m/3d66a2cc-dd81-349a-8ff8-a58c2bc42515/prediction%3A-2-stocks-that%27ll.html,GOOGL
06:00AM,Nvidias 'AI Godfather' forces a reset on the tech worlds next big bet: Morning Brief,https://finance.yahoo.com/news/nvidias-ai-godfather-forces-a-reset-on-the-tech-worlds-next-big-bet-morning-brief-110049143.html,GOOGL
05:15AM,"If I Could Only Buy and Hold a Single Stock, This Would Be It",https://finance.yahoo.com/m/39c93ee5-41bf-3c16-b800-67c799b34131/if-i-could-only-buy-and-hold.html,GOOGL
04:34AM,3 Stocks to Buy for 2025 That Are Practically Money Machines,https://finance.yahoo.com/m/ea458f09-5609-3638-982b-c0231acedeb7/3-stocks-to-buy-for-2025-that.html,GOOGL
03:40AM,"Alphabet's Stock Maintains ""Moderate Buy"" Despite Downgrade",https://finance.yahoo.com/news/alphabets-stock-maintains-moderate-buy-084021923.html,GOOGL
03:12AM,Don't Be a Grinch; Keep Holding,https://finance.yahoo.com/m/b4147d03-14b1-3138-b599-6f030f2b8cf3/don%27t-be-a-grinch%3B-keep.html,GOOGL
Jan-08-25 10:39PM,Ex-Google CEO Schmidt Said to Be Relativity Space Investor,https://finance.yahoo.com/news/ex-google-ceo-eric-schmidt-030525079.html,GOOGL
05:45PM,Alphabet (GOOGL) Stock Declines While Market Improves: Some Information for Investors,https://finance.yahoo.com/news/alphabet-googl-stock-declines-while-224521352.html,GOOGL
04:32PM,Alphabet Inc. (GOOGL): Google DeepMind Launches AI Initiative for Real-Time Simulations and AGI Progress,https://finance.yahoo.com/news/alphabet-inc-googl-google-deepmind-213241758.html,GOOGL
04:22PM,Quantum Computing Stocks Dive After Nvidia CEO Says Tech 15-30 Years Away,https://finance.yahoo.com/m/81c3872f-0431-32d2-a7e4-b58162beafc0/quantum-computing-stocks-dive.html,GOOGL
04:07PM,"Rigetti, IonQ stocks plunge after Nvidia CEO says 'useful' quantum computing is decades away",https://finance.yahoo.com/news/rigetti-ionq-stocks-plunge-after-nvidia-ceo-says-useful-quantum-computing-is-decades-away-174222136.html,GOOGL
04:07PM,"After Nvidia CEO's quantum computing forecast, strategist says 'good luck' to investors",https://finance.yahoo.com/news/nvidia-ceos-quantum-computing-forecast-210700864.html,GOOGL
03:45PM,"Why Quantum Computing Stocks Rigetti Computing, Quantum Computing, and D-Wave Computing All Plunged Today",https://finance.yahoo.com/m/41e01d34-d492-3fa0-983a-7f396f92c50b/why-quantum-computing-stocks.html,GOOGL
