Portfolio,Return,Volatility,Sharpe,AAPL,EGO,FSMD,MGRM,RIVN
Max Sharpe,0.2371126035531986,0.16908319512258785,1.402342813437423,0.4102333530840701,0.014711245992627266,0.49965417309946475,0.043172773204271375,0.03222845461956643
Min Volatility,0.22369091605447003,0.163423685698402,1.3687790426370083,0.2528016905663903,0.14019502048474772,0.5387234512409672,0.012096486948625026,0.05618335075926985
