Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-17 00:00:00-05:00,70.86000061035156,71.13999938964844,69.45999908447266,70.86000061035156,3796500,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,71.58999633789062,72.02999877929688,69.3499984741211,69.51000213623047,3172700,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,70.19000244140625,71.13999938964844,69.69000244140625,70.58999633789062,2814900,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,70.86000061035156,71.55999755859375,69.97000122070312,71.55000305175781,2438400,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,71.81999969482422,72.25,71.29000091552734,71.5,1661100,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,71.58999633789062,71.66000366210938,69.87999725341797,70.22000122070312,1653200,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,70.41000366210938,71.08999633789062,69.63999938964844,70.51000213623047,1613200,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,71.6500015258789,71.76000213623047,70.2699966430664,70.93000030517578,1481400,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,71.73999786376953,71.77999877929688,69.19999694824219,69.5,3185000,0.0,0.0,0.0
2023-01-30 00:00:00-05:00,68.68000030517578,69.87000274658203,68.02999877929688,68.0999984741211,2345800,0.0,0.0,0.0
2023-01-31 00:00:00-05:00,67.86000061035156,69.37000274658203,67.66999816894531,69.31999969482422,1391600,0.0,0.0,0.0
2023-02-01 00:00:00-05:00,69.20999908447266,69.41000366210938,66.76000213623047,67.36000061035156,3538500,0.0,0.0,0.0
2023-02-02 00:00:00-05:00,66.98999786376953,67.48999786376953,65.9000015258789,66.56999969482422,2561500,0.0,0.0,0.0
2023-02-03 00:00:00-05:00,66.7300033569336,68.38999938964844,64.3499984741211,64.4000015258789,4875300,0.0,0.0,0.0
2023-02-06 00:00:00-05:00,65.06999969482422,65.52999877929688,63.66999816894531,65.5,2694200,0.0,0.0,0.0
2023-02-07 00:00:00-05:00,65.83000183105469,67.8499984741211,65.81999969482422,67.76000213623047,3598100,0.0,0.0,0.0
2023-02-08 00:00:00-05:00,68.4000015258789,68.79000091552734,67.61000061035156,68.68000030517578,2052000,0.0,0.0,0.0
2023-02-09 00:00:00-05:00,67.87999725341797,68.5,67.12000274658203,67.91999816894531,2430700,0.0,0.0,0.0
2023-02-10 00:00:00-05:00,69.0199966430664,69.9000015258789,68.94999694824219,69.87000274658203,2817200,0.0,0.0,0.0
2023-02-13 00:00:00-05:00,69.37999725341797,70.43000030517578,69.06999969482422,69.5,3458200,0.0,0.0,0.0
2023-02-14 00:00:00-05:00,68.22000122070312,69.62999725341797,68.01000213623047,69.4000015258789,1601500,0.0,0.0,0.0
2023-02-15 00:00:00-05:00,68.79000091552734,69.38999938964844,67.80000305175781,69.0199966430664,1907600,0.0,0.0,0.0
2023-02-16 00:00:00-05:00,68.81999969482422,69.38999938964844,68.41999816894531,68.44999694824219,2369700,0.0,0.0,0.0
2023-02-17 00:00:00-05:00,66.36000061035156,67.26000213623047,66.01000213623047,67.0199966430664,3851700,0.0,0.0,0.0
2023-02-21 00:00:00-05:00,67.5,67.81999969482422,66.54000091552734,66.69000244140625,2432700,0.0,0.0,0.0
2023-02-22 00:00:00-05:00,66.4000015258789,66.66999816894531,64.88999938964844,64.91999816894531,3495600,0.0,0.0,0.0
2023-02-23 00:00:00-05:00,66.22000122070312,66.6500015258789,65.69999694824219,66.37999725341797,2136800,0.0,0.0,0.0
