Date,Price
2024-01-22,192.9447479248047
2024-01-23,194.2284698486328
2024-01-24,193.55177307128906
2024-01-25,193.223388671875
2024-01-26,191.48193359375
2024-01-29,190.7952880859375
2024-01-30,187.12327575683594
2024-01-31,183.5010223388672
2024-02-01,185.9490509033203
2024-02-02,184.94395446777344
2024-02-05,186.76502990722656
2024-02-06,188.3771514892578
2024-02-07,188.4866180419922
2024-02-08,187.4019317626953
2024-02-09,188.1691436767578
2024-02-12,186.4752655029297
2024-02-13,184.37286376953125
2024-02-14,183.48606872558594
2024-02-15,183.19712829589844
2024-02-16,181.65269470214844
2024-02-20,180.90541076660156
2024-02-21,181.66268920898438
2024-02-22,183.7052764892578
2024-02-23,181.86195373535156
2024-02-26,180.50686645507812
2024-02-27,181.9715576171875
2024-02-28,180.7659149169922
2024-02-29,180.09832763671875
2024-03-01,179.0122833251953
2024-03-04,174.4687042236328
2024-03-05,169.5066680908203
2024-03-06,168.51025390625
2024-03-07,168.3907012939453
2024-03-08,170.11444091796875
2024-03-11,172.12718200683594
2024-03-12,172.60543823242188
2024-03-13,170.51303100585938
2024-03-14,172.37628173828125
2024-03-15,171.99765014648438
2024-03-18,173.0936737060547
2024-03-19,175.44517517089844
2024-03-20,178.02584838867188
2024-03-21,170.7521514892578
2024-03-22,171.65887451171875
2024-03-25,170.23403930664062
2024-03-26,169.09815979003906
2024-03-27,172.68515014648438
2024-03-28,170.86175537109375
2024-04-01,169.4169921875
2024-04-02,168.23126220703125
2024-04-03,169.03834533691406
2024-04-04,168.21136474609375
2024-04-05,168.96859741210938
2024-04-08,167.84268188476562
2024-04-09,169.0582733154297
2024-04-10,167.1750946044922
2024-04-11,174.40892028808594
2024-04-12,175.91348266601562
2024-04-15,172.0673828125
2024-04-16,168.7693328857422
2024-04-17,167.39430236816406
2024-04-18,166.43775939941406
2024-04-19,164.40512084960938
2024-04-22,165.24208068847656
2024-04-23,166.29824829101562
2024-04-24,168.41062927246094
2024-04-25,169.27749633789062
2024-04-26,168.6896209716797
2024-04-29,172.8744659423828
2024-04-30,169.71591186523438
2024-05-01,168.6896209716797
2024-05-02,172.40615844726562
2024-05-03,182.71884155273438
2024-05-06,181.0548858642578
2024-05-07,181.74237060546875
2024-05-08,182.08116149902344
2024-05-09,183.90457153320312
2024-05-10,182.63742065429688
2024-05-13,185.8601531982422
2024-05-14,187.00755310058594
2024-05-15,189.2924041748047
2024-05-16,189.41212463378906
2024-05-17,189.4420623779297
2024-05-20,190.6094207763672
2024-05-21,191.91647338867188
2024-05-22,190.46974182128906
2024-05-23,186.45880126953125
2024-05-24,189.5518035888672
2024-05-28,189.56179809570312
2024-05-29,189.86111450195312
2024-05-30,190.85885620117188
2024-05-31,191.8166961669922
2024-06-03,193.59266662597656
2024-06-04,193.91195678710938
2024-06-05,195.42852783203125
2024-06-06,194.04165649414062
2024-06-07,196.4462432861328
2024-06-10,192.68472290039062
2024-06-11,206.68310546875
2024-06-12,212.58978271484375
2024-06-13,213.75714111328125
2024-06-14,212.01107788085938
2024-06-17,216.18165588378906
2024-06-18,213.8070068359375
2024-06-20,209.20741271972656
2024-06-21,207.02235412597656
2024-06-24,207.67086791992188
2024-06-25,208.59878540039062
2024-06-26,212.7693634033203
2024-06-27,213.61746215820312
2024-06-28,210.14527893066406
2024-07-01,216.261474609375
2024-07-02,219.77354431152344
2024-07-03,221.0506591796875
2024-07-05,225.82984924316406
2024-07-08,227.30653381347656
2024-07-09,228.16458129882812
2024-07-10,232.4548797607422
2024-07-11,227.05709838867188
2024-07-12,230.0203857421875
2024-07-15,233.87168884277344
2024-07-16,234.29075622558594
2024-07-17,228.3641357421875
2024-07-18,223.67471313476562
2024-07-19,223.80442810058594
2024-07-22,223.45523071289062
2024-07-23,224.5028533935547
2024-07-24,218.04742431640625
2024-07-25,216.99981689453125
2024-07-26,217.46875
2024-07-29,217.7481231689453
2024-07-30,218.30685424804688
2024-07-31,221.5794677734375
2024-08-01,217.8678436279297
2024-08-02,219.3644561767578
2024-08-05,208.79833984375
2024-08-06,206.76292419433594
2024-08-07,209.34710693359375
2024-08-08,212.8292236328125
2024-08-09,215.7526397705078
2024-08-12,217.2909393310547
2024-08-13,221.02682495117188
2024-08-14,221.47633361816406
2024-08-15,224.47303771972656
2024-08-16,225.80157470703125
2024-08-19,225.64175415039062
2024-08-20,226.2610626220703
2024-08-21,226.15118408203125
2024-08-22,224.2832489013672
2024-08-23,226.5906982421875
2024-08-26,226.93032836914062
2024-08-27,227.77938842773438
2024-08-28,226.2410888671875
2024-08-29,229.53746032714844
2024-08-30,228.7483367919922
2024-09-03,222.52517700195312
2024-09-04,220.6072998046875
2024-09-05,222.13560485839844
2024-09-06,220.57733154296875
2024-09-09,220.66722106933594
2024-09-10,219.86810302734375
2024-09-11,222.41529846191406
2024-09-12,222.52517700195312
2024-09-13,222.25547790527344
2024-09-16,216.082275390625
2024-09-17,216.55174255371094
2024-09-18,220.4474639892578
2024-09-19,228.61846923828125
2024-09-20,227.94920349121094
2024-09-23,226.2211151123047
2024-09-24,227.1201171875
2024-09-25,226.1212158203125
2024-09-26,227.26995849609375
2024-09-27,227.53965759277344
2024-09-30,232.7439422607422
2024-10-01,225.96141052246094
2024-10-02,226.53077697753906
2024-10-03,225.42198181152344
2024-10-04,226.55075073242188
2024-10-07,221.4463653564453
2024-10-08,225.52188110351562
2024-10-09,229.28773498535156
2024-10-10,228.7882843017578
2024-10-11,227.2999267578125
2024-10-14,231.04580688476562
2024-10-15,233.59300231933594
2024-10-16,231.5252685546875
