Date,MSFT,AAPL,GOOGL,AMZN,EGO,STM,IBM,NVDA,PLTR,SBUX,USO,GLD,F,DHI,APP
2023-01-17 00:00:00-05:00,,,,,,,,,,,,,,,
2023-01-18 00:00:00-05:00,-0.018889156534923512,-0.005370081825011197,-0.0018622176981305527,-0.006142675153973931,0.006865036749196918,0.013419681972021813,-0.03292217477513504,-0.018359425248600902,-0.02404527187642158,-0.016393405800416483,-0.019051629445285045,-0.0028717524486322477,-0.020520823673667477,-0.006816278633930639,-0.018348606996750005
2023-01-19 00:00:00-05:00,-0.0164539876001355,0.000443726807975775,0.021180923723431277,-0.01864654092151996,0.018181800448205276,-0.03688800443085116,0.0014955085692416326,-0.03521928766603266,-0.02463769187598719,-0.007047603388573909,0.015537248863026987,0.015868520044824974,-0.018533432939590644,-0.028402520231130435,-0.0485980853606266
2023-01-20 00:00:00-05:00,0.035743722928438304,0.019220659310596355,0.05341198357696286,0.03810845093076898,0.022321407189022535,0.026024859839234527,0.004124711447224927,0.0640621552405487,0.043090633139842405,0.0074813110961282625,0.013599755824776683,-0.003335405556458948,0.018062357393610506,0.0267334423407235,0.0746561151693792
2023-01-23 00:00:00-05:00,0.00982415114853441,0.023500632282191347,0.018057660055786684,0.002776315095798454,0.006550264259409522,0.028715080320355746,0.004674275734079858,0.0759012302087263,0.05128207044053168,0.01113855895882665,-0.0006988546418599251,0.0018964337632443318,0.03225813491570939,0.012700935447983897,0.09506398553413731
2023-01-24 00:00:00-05:00,-0.0022260035860798277,0.010062887721290492,-0.02094405710307945,-0.012305137300550828,0.021691952654312452,-0.012793769790452436,-0.0026080832565126277,0.003751337845560032,-0.04878050513982635,0.004048619860858471,-0.017902080829326872,0.003618515163479552,-0.004687681687967071,0.013796060841611002,-0.006677790213931889
2023-01-25 00:00:00-05:00,-0.005908093812350912,-0.004700529737260428,-0.02538379306993699,0.008928577793566816,0.021231402085489348,0.020970883536693963,-0.005159548501679545,0.003010680499792473,0.028490001397228015,0.0031882109495686706,0.004129890493961508,0.004603959599926544,0.003924888123960857,-0.015670028602210118,-0.006722682879878539
2023-01-26 00:00:00-05:00,0.030713583814376832,0.014803391539021549,0.024154531877684127,0.02099198301215366,0.0010395248441579241,0.07754443182012571,-0.044828211890531655,0.024789069027231214,0.0027700805412327334,0.0166387033905655,0.005956575751250748,-0.009055266877154966,0.01016414335099003,0.013929602315691847,0.006768183229402647
2023-01-27 00:00:00-05:00,0.0006452578798945563,0.013684207256707381,0.01897051909347791,0.03043737760442866,-0.015576383221392986,0.02355966156893352,-0.0004462117364179008,0.028431606439116353,0.04281773886973794,0.0023905893820646007,-0.020160726054183176,-0.0013929904624704337,0.027089785713487746,-0.0029957459557389265,0.05798324001482924
2023-01-30 00:00:00-05:00,-0.021961743970185577,-0.020077991205543766,-0.024454019932838023,-0.01652968356145279,-0.003164528947236067,-0.017995460440095146,0.006771430194420391,-0.05907201983697996,-0.02384109942098711,-0.00568707467632279,-0.020143906847178483,-0.002566715270248765,-0.028636026030727124,-0.017509207000690696,-0.030182693394392723
2023-01-31 00:00:00-05:00,0.021012730313676897,0.009020691228701638,0.019599650116830514,0.025658817736008643,0.011640276462621113,0.0061795140692986195,-0.0042129932895685895,0.01956997162595675,0.05563098108761566,0.006826553342268227,0.0179148494572543,0.0036362115419990015,0.04809924125007492,0.040704551700605496,0.04013102126022017
2023-02-01 00:00:00-05:00,0.019934717527039014,0.007900910707259401,0.016086704106996752,0.019586971068148662,0.035564768199791263,0.04341362871175014,0.0026720759380503,0.07196609470698756,0.05398452289593614,0.007788245036677299,-0.028274655122639825,0.012596814339808304,0.02072527486835174,0.012260526874309008,0.05196849270270176
2023-02-02 00:00:00-05:00,0.04688417838692893,0.03706260482582335,0.0727868944950123,0.07379935352944922,-0.03737372725414423,0.0233409334492809,0.00962322330192511,0.03657539829809631,0.09634146100350027,-0.007637078018503218,-0.011728041988852689,-0.02075193653580043,0.03843367164423195,0.030430440200819975,0.06212574438886498
2023-02-03 00:00:00-05:00,-0.02362052790138447,0.024399973786664475,-0.027473494723676994,-0.08431497620839845,-0.018887655461176545,-0.0194368821049673,0.004032459225200347,-0.028052939922781905,-0.0645161221882784,-0.04443430505938717,-0.032597238679483276,-0.024957770292002968,-0.07611728709344012,-0.0337089701541885,-0.06835795222259555
2023-02-06 00:00:00-05:00,-0.006115674457907283,-0.017928942517044022,-0.017942332856235255,-0.011703250716856073,-0.01497329814020254,-0.02245129672375401,-0.005550031693951296,-0.0005213291750026938,-0.011890538598069211,0.006903094974684443,0.01708072124313631,0.0020754098721176284,-0.006802559329139646,-0.010481752093712382,-0.04689862882267759
2023-02-07 00:00:00-05:00,0.04202192102453872,0.01924464271759274,0.04606404852055568,-0.0006850625818668465,0.014115104658248612,0.024622310183737728,-0.0024964116747979714,0.051401376436790214,0.0024066790709353914,0.017234935242657068,0.0345038494080987,0.000920425708082595,0.02359196853454537,0.012935359327937768,0.01984126924056806
2023-02-08 00:00:00-05:00,-0.003102072538739953,-0.01765272436680365,-0.0768300970241852,-0.02017429777965274,0.011777264976464474,-0.021001738307703577,0.0010305678733797397,0.0014429363522341365,-0.013205241018574565,-0.004961151203148884,0.013577304308457272,0.002471594120761589,-0.002230486013898636,-0.020512604081434294,-0.013229577528969805
